pandas-dev/pandas;https://github.com/pandas-dev/pandas/issues/39283; TODO: get rid of these xfails;2021-01-19T22:43:44Z;Tue Jan 19 21:44:07 2021 +0100;/pandas/tests/strings/test_api.py;73;We probably can remove both checks, see #39092
pandas-dev/pandas;https://github.com/pandas-dev/pandas/issues/39283; TODO: get rid of these xfails;2021-01-19T22:43:44Z;Tue Jan 19 21:44:07 2021 +0100;/pandas/tests/strings/test_api.py;73;We probably can remove both checks, see #39092
pandas-dev/pandas;https://github.com/pandas-dev/pandas/issues/26748; workaround because `c='b'` is hardcoded in matplotlib's scatter method;2019-06-09T00:32:44Z;Sun Jun 9 00:23:00 2019 +0100;/pandas/plotting/_matplotlib/misc.py;433;After #26745 we should be able to move imports in pandas/plotting/_matplotlib/* to the top of the file, as they shouldn't create cycles.$n$See #26414 (comment)
pandas-dev/pandas;https://github.com/pandas-dev/pandas/issues/26748; workaround because `c='b'` is hardcoded in matplotlib's scatter method;2019-06-09T00:32:44Z;Sun Jun 9 00:23:00 2019 +0100;/pandas/plotting/_matplotlib/misc.py;433;After #26745 we should be able to move imports in pandas/plotting/_matplotlib/* to the top of the file, as they shouldn't create cycles.$n$See #26414 (comment)
pandas-dev/pandas;https://github.com/pandas-dev/pandas/issues/26748; reset of xlim should be used for ts data$n$ TODO: GH28021, should find a way to change view limit on xaxis;2019-06-09T00:32:44Z;Sun Jun 9 00:23:00 2019 +0100;/pandas/plotting/_matplotlib/core.py;1193;After #26745 we should be able to move imports in pandas/plotting/_matplotlib/* to the top of the file, as they shouldn't create cycles.$n$See #26414 (comment)
pandas-dev/pandas;https://github.com/pandas-dev/pandas/issues/26748; reset of xlim should be used for ts data$n$ TODO: GH28021, should find a way to change view limit on xaxis;2019-06-09T00:32:44Z;Sun Jun 9 00:23:00 2019 +0100;/pandas/plotting/_matplotlib/core.py;1193;After #26745 we should be able to move imports in pandas/plotting/_matplotlib/* to the top of the file, as they shouldn't create cycles.$n$See #26414 (comment)
cockroachdb/cockroach;https://github.com/cockroachdb/cockroach/issues/54028; TODO(arul): Ideally this should be the fully qualified name of the schema,$n$ but at the time of writing there doesn't seem to be a clean way of doing$n$ this.;2020-09-08T14:52:24Z;Tue Sep 8 13:53:34 2020 -0400;/pkg/sql/drop_role.go;193;We should log more events from the statistics cache, like whenever we are waiting for a statistics query (and how long that query took).
cockroachdb/cockroach;https://github.com/cockroachdb/cockroach/issues/45886; Send a notice to users about how this job is asynchronous.$n$ TODO(knz): Mention the job ID in the client notice.;2020-03-09T14:56:47Z;Mon Mar 9 14:33:43 2020 -0400;/pkg/sql/alter_primary_key.go;493;alter_table.go is too large. We should begin pulling out large chunks of it into different files.
cockroachdb/cockroach;https://github.com/cockroachdb/cockroach/issues/58453; Workaround for bazel auto-generated code. goimports does not automatically$n$ pick up the right packages when run within the bazel sandbox.;2021-01-05T16:49:30Z;Tue Jan 5 16:55:18 2021 -0600;/pkg/sql/colexec/colexecagg/hash_min_max_agg.eg.go;29;Add a long-running migration that, for all descriptors, upgrades any old-style foreign keys on the descriptor.
cockroachdb/cockroach;https://github.com/cockroachdb/cockroach/issues/58453; Workaround for bazel auto-generated code. goimports does not automatically$n$ pick up the right packages when run within the bazel sandbox.;2021-01-05T16:49:30Z;Tue Jan 5 16:55:18 2021 -0600;/pkg/sql/colexec/colexecagg/ordered_sum_agg.eg.go;27;Add a long-running migration that, for all descriptors, upgrades any old-style foreign keys on the descriptor.
cockroachdb/cockroach;https://github.com/cockroachdb/cockroach/issues/58453; Workaround for bazel auto-generated code. goimports does not automatically$n$ pick up the right packages when run within the bazel sandbox.;2021-01-05T16:49:30Z;Tue Jan 5 16:55:18 2021 -0600;/pkg/sql/colexec/colexecagg/ordered_avg_agg.eg.go;26;Add a long-running migration that, for all descriptors, upgrades any old-style foreign keys on the descriptor.
