microsoft/vscode,https://github.com/microsoft/vscode,debt,"108,822","103,182","4,218","98,964","1,640",123,"1,517",TO RUN,,,
vuejs/vue,https://github.com/vuejs/vue,has workaround,"177,655","9,297",342,"8,955",75,46,29,TO RUN,,,
angular/angular,https://github.com/angular/angular,workaround1: obvious,"69,336","22,022","2,513","19,509",98,29,69,TO RUN,,,
angular/angular,https://github.com/angular/angular,workaround4: none,"69,336","22,022","2,513","19,509",23,2,21,TO RUN,,,
angular/angular,https://github.com/angular/angular,workaround2: non-obvious,"69,336","22,022","2,513","19,509",66,28,38,TO RUN,,,
storybookjs/storybook,https://github.com/storybookjs/storybook,cleanup,"56,854","6,774",822,"5,952",15,0,15,TO RUN,,,
storybookjs/storybook,https://github.com/storybookjs/storybook,has workaround,"56,854","6,774",822,"5,952",481,109,372,TO RUN,,,
rust-lang/rust,https://github.com/rust-lang/rust,C-cleanup,"50,819","37,379","6,316","31,063",969,123,846,TO RUN,,,
rust-lang/rust,https://github.com/rust-lang/rust,ICEBreaker-Cleanup-Crew,"50,819","37,379","6,316","31,063",68,24,44,TO RUN,,,
protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,cleanup,"45,545","4,249","1,055","3,194",94,25,69,TO RUN,,,
pytorch/pytorch,https://github.com/pytorch/pytorch,has workaround,"45,237","17,843","5,411","12,432",50,32,18,TO RUN,,,
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,Cleanup,"44,038","2,992",12,"2,980",33,0,33,TO RUN,,,
meteor/meteor,https://github.com/meteor/meteor,Severity:has-workaround,"42,204","8,425",93,"8,332",227,1,226,TO RUN,,,
neovim/neovim,https://github.com/neovim/neovim,refactor,"40,710","6,161","1,062","5,099",51,24,27,TO RUN,,,
neovim/neovim,https://github.com/neovim/neovim,+workaround,"40,710","6,161","1,062","5,099",48,9,39,TO RUN,,,
scrapy/scrapy,https://github.com/scrapy/scrapy,cleanup,"39,373","2,355",452,"1,903",30,9,21,TO RUN,,,
adobe/brackets,https://github.com/adobe/brackets,code cleanup,"32,467","9,633","2,598","7,035",152,53,99,TO RUN,,,
vuetifyjs/vuetify,https://github.com/vuetifyjs/vuetify,has workaround,"29,041","9,441","1,163","8,278",139,65,74,TO RUN,,,
vuetifyjs/vuetify,https://github.com/vuetifyjs/vuetify,has workaround,"29,041","9,441","1,163","8,278",139,65,74,TO RUN,,,
grpc/grpc,https://github.com/grpc/grpc,kind/internal cleanup,"28,831","9,175",566,"8,609",275,31,244,TO RUN,,,
pandas-dev/pandas,https://github.com/pandas-dev/pandas,Refactor,"27,918","19,650","3,413","16,237",105,35,70,TO RUN,,,
pandas-dev/pandas,https://github.com/pandas-dev/pandas,Clean,"27,918","19,650","3,413","16,237",256,42,214,TO RUN,,,
pandas-dev/pandas,https://github.com/pandas-dev/pandas,Refactor,"27,918","19,650","3,413","16,237",105,35,70,TO RUN,,,
pandas-dev/pandas,https://github.com/pandas-dev/pandas,Clean,"27,918","19,650","3,413","16,237",256,42,214,TO RUN,,,
vuejs/vue-cli,https://github.com/vuejs/vue-cli,has workaround,"27,081","4,681",532,"4,149",17,4,13,TO RUN,,,
cypress-io/cypress,https://github.com/cypress-io/cypress,existing workaround,"26,265","7,023","1,377","5,646",105,60,45,TO RUN,,,
netty/netty,https://github.com/netty/netty,cleanup,"25,682","5,308",415,"4,893",132,3,129,TO RUN,,,
netty/netty,https://github.com/netty/netty,cleanup,"25,682","5,308",415,"4,893",132,3,129,TO RUN,,,
angular/angular-cli,https://github.com/angular/angular-cli,workaround1: obvious,"24,062","12,366",364,"12,002",34,7,27,TO RUN,,,
angular/angular-cli,https://github.com/angular/angular-cli,workaround2: non-obvious,"24,062","12,366",364,"12,002",43,12,31,TO RUN,,,
angular/angular-cli,https://github.com/angular/angular-cli,workaround1: obvious,"24,062","12,366",364,"12,002",34,7,27,TO RUN,,,
angular/angular-cli,https://github.com/angular/angular-cli,workaround2: non-obvious,"24,062","12,366",364,"12,002",43,12,31,TO RUN,,,
PowerShell/PowerShell,https://github.com/PowerShell/PowerShell,Issue-Code Cleanup,"23,715","8,544","2,821","5,723",112,62,50,TO RUN,,,
sequelize/sequelize,https://github.com/sequelize/sequelize,existing workaround,"23,457","9,040","1,069","7,971",67,60,7,TO RUN,,,
metabase/metabase,https://github.com/metabase/metabase,.Tech Debt or Refactoring,"23,285","8,068","1,897","6,171",198,92,106,TO RUN,,,
Automattic/mongoose,https://github.com/Automattic/mongoose,refactor,"22,001","8,044",321,"7,723",18,6,12,TO RUN,,,
StreisandEffect/streisand,https://github.com/StreisandEffect/streisand,kind/cleanup,"21,985","1,134",207,927,33,12,21,TO RUN,,,
