repository;duration;size;participants;comments
vuejs/vue;1512.67;873;9;11
vuejs/vue;1232.23;393;14;15
vuejs/vue;239.38;875;5;3
vuejs/vue;159.14;1742;4;2
vuejs/vue;17.45;511;2;3
vuejs/vue;189.43;430;8;12
vuejs/vue;109.93;889;5;3
vuejs/vue;973.29;662;2;2
vuejs/vue;969.5;507;5;4
vuejs/vue;4.04;1088;4;9
vuejs/vue;923.17;332;3;4
vuejs/vue;902.22;1553;6;5
vuejs/vue;899.66;818;3;2
vuejs/vue;892.34;1259;3;3
vuejs/vue;892.33;405;7;7
vuejs/vue;854.99;593;3;2
vuejs/vue;850.45;465;2;2
vuejs/vue;3.6;2345;3;5
vuejs/vue;811.9;1780;5;6
vuejs/vue;806.12;391;4;13
vuejs/vue;19.25;972;2;2
vuejs/vue;777.3;919;5;11
vuejs/vue;775.52;1230;4;3
vuejs/vue;0.35;416;4;3
vuejs/vue;20.38;432;7;9
vuejs/vue;0.74;496;4;5
vuejs/vue;280.03;485;3;4
vuejs/vue;7.88;879;5;7
vuejs/vue;752.19;340;3;5
vuejs/vue;0.58;658;3;1
vuejs/vue;1.19;1242;10;20
vuejs/vue;0.03;1016;2;3
vuejs/vue;745.0;924;3;3
vuejs/vue;2.12;313;3;2
vuejs/vue;0.24;364;3;3
vuejs/vue;1.8;1280;3;3
vuejs/vue;0.22;599;4;4
vuejs/vue;732.15;1038;4;10
vuejs/vue;0.61;591;8;12
vuejs/vue;2.81;464;3;1
vuejs/vue;726.42;1119;3;1
vuejs/vue;0.5;745;3;1
vuejs/vue;0.49;497;3;2
vuejs/vue;1.95;1163;2;2
vuejs/vue;696.12;1251;5;6
vuejs/vue;677.7;1602;6;13
vuejs/vue;666.12;649;3;2
vuejs/vue;652.31;494;3;2
vuejs/vue;630.41;621;4;4
vuejs/vue;610.04;956;2;1
vuejs/vue;608.45;681;2;2
vuejs/vue;605.38;239;2;0
vuejs/vue;589.08;568;3;1
vuejs/vue;589.02;473;3;6
vuejs/vue;559.04;446;5;11
vuejs/vue;6.09;945;3;4
vuejs/vue;517.98;546;3;6
vuejs/vue;515.07;400;2;1
vuejs/vue;512.31;1243;3;3
vuejs/vue;300.17;424;2;2
vuejs/vue;460.43;1322;4;10
vuejs/vue;458.94;642;1;0
vuejs/vue;455.27;490;4;5
vuejs/vue;59.26;468;4;4
vuejs/vue;435.35;2185;2;3
vuejs/vue;399.67;1691;3;3
vuejs/vue;398.06;282;4;4
vuejs/vue;336.8;1745;3;1
vuejs/vue;336.08;959;5;4
vuejs/vue;0.13;289;2;1
vuejs/vue;232.32;759;3;1
vuejs/vue;217.24;240;3;4
vuejs/vue;216.06;1024;2;1
vuejs/vue;183.33;375;4;5
vuejs/vue;117.76;605;4;3
vuejs/vue;63.21;258;3;5
microsoft/vscode;301.11;200;4;4
microsoft/vscode;260.93;475;6;9
microsoft/vscode;146.07;399;4;7
microsoft/vscode;14.87;525;2;4
microsoft/vscode;0.19;202;2;3
microsoft/vscode;14.07;0;3;2
microsoft/vscode;892.0;1088;3;20
microsoft/vscode;1.24;100;3;1
microsoft/vscode;0.04;129;2;2
microsoft/vscode;70.99;241;3;9
microsoft/vscode;229.9;392;6;19
microsoft/vscode;206.65;178;2;1
microsoft/vscode;3.92;497;1;1
microsoft/vscode;49.26;12;3;1
microsoft/vscode;46.64;320;3;4
microsoft/vscode;56.72;402;5;5
microsoft/vscode;329.74;173;7;7
microsoft/vscode;55.87;564;5;4
microsoft/vscode;15.76;428;4;2
microsoft/vscode;10.24;256;2;2
microsoft/vscode;153.12;142;2;1
microsoft/vscode;1841.73;503;46;79
microsoft/vscode;95.74;519;2;2
microsoft/vscode;3.29;232;1;0
microsoft/vscode;3.17;246;3;4
microsoft/vscode;22.67;124;1;0
microsoft/vscode;629.75;269;2;1
microsoft/vscode;119.73;0;1;0
microsoft/vscode;1828.79;4888;46;135
microsoft/vscode;14.74;179;3;1
microsoft/vscode;619.16;210;3;4
microsoft/vscode;29.81;9;1;0
microsoft/vscode;16.75;80;2;0
microsoft/vscode;195.72;121;3;14
microsoft/vscode;15.75;60;1;1
microsoft/vscode;144.92;98;2;2
microsoft/vscode;77.85;141;1;2
microsoft/vscode;107.97;49;4;5
microsoft/vscode;5.16;0;1;0
microsoft/vscode;2.75;36;1;0
microsoft/vscode;399.73;561;2;10
microsoft/vscode;693.4;1084;3;11
microsoft/vscode;0.75;52;1;0
microsoft/vscode;0.09;510;2;5
microsoft/vscode;0.23;387;1;2
microsoft/vscode;879.28;152;4;10
microsoft/vscode;207.66;113;3;3
microsoft/vscode;1649.16;1189;5;10
microsoft/vscode;71.23;178;3;19
microsoft/vscode;35.89;327;4;10
microsoft/vscode;0.08;296;2;4
microsoft/vscode;113.04;284;2;2
microsoft/vscode;0.02;339;2;1
microsoft/vscode;10.87;687;2;7
microsoft/vscode;1.21;578;2;5
microsoft/vscode;81.02;209;3;10
microsoft/vscode;9.22;111;1;0
microsoft/vscode;6.95;137;2;0
microsoft/vscode;6.15;253;2;1
microsoft/vscode;541.13;146;5;5
microsoft/vscode;5.01;35;1;0
microsoft/vscode;388.31;253;2;1
microsoft/vscode;4.31;57;1;0
microsoft/vscode;333.47;256;2;2
microsoft/vscode;68.14;177;2;6
microsoft/vscode;0.0;158;2;2
microsoft/vscode;0.71;183;3;3
microsoft/vscode;3.86;604;2;2
microsoft/vscode;3.16;20;2;3
microsoft/vscode;29.06;87;1;0
microsoft/vscode;349.77;200;3;7
microsoft/vscode;110.73;101;2;4
microsoft/vscode;106.09;92;1;2
microsoft/vscode;180.84;119;2;2
microsoft/vscode;342.16;22;2;2
microsoft/vscode;2.86;437;2;0
microsoft/vscode;26.94;449;2;0
microsoft/vscode;26.95;423;3;1
microsoft/vscode;14.65;46;1;0
microsoft/vscode;14.7;64;1;0
microsoft/vscode;140.95;207;1;0
microsoft/vscode;8.58;140;1;0
microsoft/vscode;326.47;220;1;1
microsoft/vscode;5.99;22;1;0
microsoft/vscode;8.77;186;1;0
microsoft/vscode;13.93;0;1;0
microsoft/vscode;12.4;41;1;0
microsoft/vscode;12.38;0;1;0
microsoft/vscode;7.06;0;1;1
microsoft/vscode;6.73;25;1;0
microsoft/vscode;11.28;18;1;0
microsoft/vscode;46.19;21;1;0
microsoft/vscode;165.2;330;1;0
microsoft/vscode;837.6;1342;3;4
microsoft/vscode;189.38;604;11;18
microsoft/vscode;4.14;88;1;0
microsoft/vscode;5.34;347;1;0
microsoft/vscode;167.08;1259;6;13
microsoft/vscode;1.77;0;1;1
microsoft/vscode;34.91;1339;6;23
microsoft/vscode;98.18;114;1;0
microsoft/vscode;33.06;184;2;0
microsoft/vscode;27.81;37;2;0
microsoft/vscode;20.98;0;1;0
microsoft/vscode;316.13;211;1;1
microsoft/vscode;518.23;140;2;5
microsoft/vscode;19.04;0;1;1
microsoft/vscode;17.3;79;1;0
microsoft/vscode;597.44;1195;8;9
microsoft/vscode;1135.14;1154;119;314
microsoft/vscode;809.59;347;8;8
microsoft/vscode;0.01;0;1;0
microsoft/vscode;6.31;26;1;0
microsoft/vscode;393.17;271;4;3
microsoft/vscode;26.68;677;1;0
microsoft/vscode;11.73;417;2;5
microsoft/vscode;7.63;862;4;16
microsoft/vscode;539.21;1375;12;28
microsoft/vscode;0.07;147;2;2
microsoft/vscode;1.73;29;2;1
microsoft/vscode;0.05;18;2;0
microsoft/vscode;0.8;17;2;0
microsoft/vscode;0.0;17;3;0
microsoft/vscode;0.89;14;2;0
microsoft/vscode;0.84;14;2;0
microsoft/vscode;303.0;217;2;3
microsoft/vscode;454.31;339;1;0
microsoft/vscode;713.53;150;1;1
microsoft/vscode;0.21;48;1;1
microsoft/vscode;153.03;150;2;2
microsoft/vscode;83.23;118;3;3
microsoft/vscode;73.16;337;6;11
microsoft/vscode;491.33;141;7;7
microsoft/vscode;793.77;255;1;1
microsoft/vscode;0.1;142;1;0
microsoft/vscode;1702.89;814;11;22
microsoft/vscode;10.76;291;3;2
microsoft/vscode;24.55;9;2;1
microsoft/vscode;561.97;324;46;87
microsoft/vscode;0.31;157;1;0
microsoft/vscode;1448.43;437;3;0
microsoft/vscode;783.51;363;6;4
microsoft/vscode;41.11;170;3;2
microsoft/vscode;30.32;106;1;1
microsoft/vscode;6.1;51;2;2
microsoft/vscode;4.76;74;1;0
microsoft/vscode;0.3;394;2;1
microsoft/vscode;10.03;645;2;4
microsoft/vscode;3.02;0;2;1
microsoft/vscode;2.99;310;2;3
microsoft/vscode;761.87;26;1;1
microsoft/vscode;0.0;59;1;0
microsoft/vscode;21.15;0;2;2
microsoft/vscode;747.77;1581;2;2
microsoft/vscode;49.18;86;2;1
microsoft/vscode;16.99;463;2;2
microsoft/vscode;5.91;175;1;1
microsoft/vscode;0.04;105;1;0
microsoft/vscode;721.84;430;3;7
microsoft/vscode;18.03;0;2;1
microsoft/vscode;103.91;394;2;0
microsoft/vscode;0.0;0;2;1
microsoft/vscode;56.43;220;5;3
microsoft/vscode;35.11;409;2;6
microsoft/vscode;100.63;0;1;1
microsoft/vscode;0.04;0;1;0
microsoft/vscode;0.69;47;2;1
microsoft/vscode;5.86;495;2;5
microsoft/vscode;1.75;18;1;0
microsoft/vscode;0.31;0;1;0
microsoft/vscode;12.17;91;2;6
microsoft/vscode;12.14;0;1;1
microsoft/vscode;12.19;135;2;2
microsoft/vscode;54.19;0;1;1
microsoft/vscode;14.12;17;1;1
microsoft/vscode;230.81;403;1;1
microsoft/vscode;1.13;345;2;4
microsoft/vscode;605.01;0;1;0
microsoft/vscode;260.38;0;2;0
microsoft/vscode;20.97;395;2;0
microsoft/vscode;257.26;10;1;0
microsoft/vscode;0.0;128;1;0
microsoft/vscode;19.53;0;2;1
microsoft/vscode;0.24;47;1;1
microsoft/vscode;229.4;194;2;2
microsoft/vscode;140.06;539;2;3
microsoft/vscode;749.51;369;2;3
microsoft/vscode;7.05;467;2;2
microsoft/vscode;551.81;0;3;2
microsoft/vscode;19.7;0;3;10
microsoft/vscode;0.55;160;2;3
microsoft/vscode;34.68;16;2;1
microsoft/vscode;1358.89;685;62;122
microsoft/vscode;7.91;1705;3;3
microsoft/vscode;1.73;269;5;2
microsoft/vscode;104.23;361;3;7
microsoft/vscode;12.35;475;6;3
microsoft/vscode;5.3;993;2;0
microsoft/vscode;0.0;131;2;0
microsoft/vscode;0.0;122;1;1
microsoft/vscode;0.7;127;1;1
microsoft/vscode;0.09;20;1;0
microsoft/vscode;27.04;196;3;4
microsoft/vscode;176.91;485;2;3
microsoft/vscode;99.39;1116;4;13
microsoft/vscode;35.78;363;2;1
microsoft/vscode;697.25;680;27;71
microsoft/vscode;2.93;666;4;9
microsoft/vscode;5.02;203;1;0
microsoft/vscode;8.57;0;1;0
microsoft/vscode;1090.11;130;3;6
microsoft/vscode;26.21;263;2;1
microsoft/vscode;9.49;399;2;3
microsoft/vscode;0.55;1393;2;1
microsoft/vscode;0.55;919;2;1
microsoft/vscode;28.88;367;2;10
microsoft/vscode;0.78;123;2;1
microsoft/vscode;33.9;200;2;0
microsoft/vscode;0.84;185;2;2
microsoft/vscode;29.35;513;2;3
microsoft/vscode;6.88;90;1;0
microsoft/vscode;6.86;67;1;0
microsoft/vscode;27.47;1054;2;4
microsoft/vscode;686.16;259;3;7
microsoft/vscode;0.16;4354;3;0
microsoft/vscode;826.58;236;2;5
microsoft/vscode;481.17;2749;2;6
microsoft/vscode;1.84;419;2;3
microsoft/vscode;7.1;340;4;11
microsoft/vscode;15.84;67;2;1
microsoft/vscode;35.36;287;1;0
microsoft/vscode;170.43;242;3;5
microsoft/vscode;6.18;150;2;1
microsoft/vscode;612.41;1283;3;3
microsoft/vscode;153.8;262;3;1
microsoft/vscode;13.74;95;2;8
microsoft/vscode;0.57;0;3;1
microsoft/vscode;8.01;302;1;0
microsoft/vscode;0.55;774;4;4
microsoft/vscode;4.97;20;1;0
microsoft/vscode;4.95;20;1;0
microsoft/vscode;5.23;616;2;1
microsoft/vscode;1.21;7845;9;18
microsoft/vscode;43.21;256;1;1
microsoft/vscode;6.12;466;2;1
microsoft/vscode;0.2;526;2;6
microsoft/vscode;172.71;1002;4;8
microsoft/vscode;67.33;778;2;1
microsoft/vscode;3.84;680;2;2
microsoft/vscode;0.13;243;2;2
microsoft/vscode;3.75;690;1;0
microsoft/vscode;5.66;199;2;6
microsoft/vscode;7.59;102;3;1
microsoft/vscode;21.71;706;2;0
microsoft/vscode;24.8;934;2;3
microsoft/vscode;6.17;113;1;0
