,Repository,Answer,Guidelines
D1,goharbor/harbor,"a. When clarifying the main thought and flow of the code logic (C1)

b. When there are bugs existing (I2)","*C1. If it acts as hints to the reader
*I2. If it has high priority"
D2,modin-project/modi,"I don’t think I have definitive guides on choosing one over another, though, so it’s mostly a “gut feeling”. I would say that I would use a FIXME-like comment for something local to the code where the comment is (like a rare edge case not handled which should be handled near the comment) [C5], while an issue or tracker is for some bigger beast, like “refactor this class” or “change the way those classes interact” [I1][I4].
 
Now to your examples.
Example #1 is not exactly a “to do” comment, but an explanation why do we need such a weird code after the comment. I don’t think there’s better way of explaining a “this is weird because we workaround that bug” thing, plus it fits perfectly to “fix the stuff in the near” criteria I’ve written above.
 
Example #2 is something I would not call a TD (technically speaking), as in my point of view a TD is something being deliberately done wrong or inefficient to cut development costs in the short run. In case of #2 it wasn’t exactly so – I needed a variable that I can change during runtime and subscribe to its changes in the code, so It was more like a “feature tracker”. But even if we would classify it as a TD (which it partially is, I agree) you see that fixing it spanned multiple files and involved touching quite a lot of places in the codebase [I1].","*C5. If it has a local scope
*I1. If it spans to multiple places
*I4. If it requires medium/large effort to fix"
D3,rust-lang/rust,"1. If the fix (or the problem) is complicated, then opening an issue means more work, because I have to explain it well enough other people will understand it. [C1]
2. If the fix is simple, then putting it in an issue makes it more likely someone will try it as their first issue. [I6]

Regardless of those two, if the problem impacts other work I usually open an issue anyway [I1] (e.g. https://github.com/rust-lang/rust/issues/83761).

By the way, https://github.com/rust-lang/rust/blob/d203fceeb12f8c0e3123fc45036575018d2f990a/src/bootstrap/bootstrap.py#L672 is not technical debt, it's a missing feature. Implementing it would actually make the codebase harder to work on, not easier. https://github.com/rust-lang/rust/blob/16143d10679537d3fde4247e15334e78ad9d55b9/src/librustdoc/passes/collect_intra_doc_links.rs#L469-L471 would be a better example of tech debt. Actually I need to remove that FIXME, it's no longer relevant now that `resolve_associated_item` exists. I guess that's another reason to put comments in code, they're more likely to be noticed when the code is updated for an unrelated reason. [C1]","*C1. If it acts as hints to the reader
*I1. If it spans to multiple places
*I6. If it is a good first issue"
D4,grpc/grpc,"In my opinion, you need both. And they should be linked by automation. There should be a 1:N relationship between bugs and todos in the codebase. When looking at a bug, there needs to be a way to refer to all the locations in the code where a TODO references that bug. The reverse direction also needs to be possible, i.e. when looking at a TODO, it should be easy to navigate to the bug teaching tracking it. [B1] This is simple if you use the format TODO(https://github.com/issues/...), as we usually do. You caught me being lazy or forgetful in that link.

One critical element is that bugs need to receive an automated update when a TODO tracked by it is removed from the codebase. This may signify resolution of the issue or just a refactor, so there still needs to be a human in the loop to determine whether or not the issue is actually resolved.

Likewise, when a bug is closed out that references TODOs, there should either be an automated change submitted to remove those TODOs from the codebase or the bug should reopen itself until all of the TODOs it references are removed from the codebase.

I think you'd find the majority of the developers on my team agree with this assessment. We just haven't invested the time into that infrastructure yet.

Sorry if this isn't the sort of answer you were looking for.",*B1. If there is 1:N relationship 
D5,elastic/kibana,"I don't think I or my team have a clear ""guideline"" on when it is OK to leave a comment and when to create an issue. 
My gut feeling: 
1. if TODO is scoped to a module and only improves this particular piece of code - then I don't create an issue [C5]
2. if TODO is more of architectural thing, spans multiple modules, and needs input from different teams, then I'd create an issue. [I1]

Also, I love this take: https://twitter.com/dan_abramov/status/1215838693518430210","*C5. If it has a local scope
*I1. If it spans to multiple places"
D6,mattermost/mattermost-server,"I'm not a very structured person, so probably the issues/comments that you have seen have been done with a random criteria more than a structured way of thinking.

Said that I can answer your 2 questions.

a) I would use them in small projects where I have control over the whole code and I revisit the code frequently. [C7] Or as part of a PR that is a Work In Progress and is going to pass through a review process (that is going to detect that TODO comments). [C8]
b) I would use issues whenever the project is big enough that you have to focus on certain part of the code, then, from my point of view, the TODO comments gets included and rarely removed. [I7] A new issue can easily get assigned and discussed in a wider environment.","*C8. If it explains TD for PR review
*C7. If you revisit the code frequently
*I7. If it can't be forgotten"
D7,cockroachdb/cockroach,"I recommend both; the comment tells you where it's wrong, and the issue has better discussion on it. [B2]
However, if there is no place for code, the issue is the minimum.",*B2. If it requires discussion and locality
D8,kubernetes/kubernetes,"I firmly believe that the best documentation for software is in code, my experience has demonstrated to me that wikis, out of tree docs, ... quickly get outdated and are useless. However, this doesn't mean that this should be the only source of documentation, high level docs, architecture, diagrams, designs, ... those things have to exist and can use wikis, docs, files, ...

To your first question, I always recommend to document everything like TD on code ... every developer will find it always. [C1]

To your second point, I don't think that code should be used to track issues, you need the right tool for each job, and in this case we have Github Issues to do tracking, but there are a lot of software that allows you to do this, pick your poison here :).",*C1. If it acts as hints to the reader
D9,cockroachdb/cockroach,"I would say that often my choice to open an issue or leave a TODO isn't very scientific. Leaving a TODO is easier than writing an issue, so sometimes the decision is made out of pure laziness :) But in an ideal world, I would try to follow these guidelines:

1. Create BOTH an issue and a TODO if possible. Open an issue explaining the problem, and then reference the issue number from a TODO comment in a relevant part of the code. For example: https://github.com/cockroachdb/cockroach/blob/d52f071bb5277920b593711fc810fc092a2a2f24/pkg/sql/opt/exec/execbuilder/mutation.go#L155. I typically use this approach if I discover an important issue in the process of writing a PR, but it's too large or difficult to fix in the current PR. [B3]

2. If it's not clear exactly where in the code the problem is or where a fix should be implemented, [I1] then opening an issue without a corresponding TODO is fine. It's also perfectly fine to just open an issue even if you know where the fix should go but you don't have an in-progress PR open for that part of the code. [I4] In that case, you can still reference line numbers or a GitHub link in the issue description.

3. If, in the process of writing a PR, you have an idea for something that might improve the existing code but it's not very important or urgent, then I think it's ok to just leave a TODO without opening an issue. [C2]This can be dangerous, though, since it's easy to forget about TODOs. On my team, we typically make a point of grepping for TODOs at the end of a release cycle to make sure we didn't miss something important. I also leave TODOs without a corresponding issue number if fixing it would require more than a single issue's worth of work. [?] In the example you gave above where I reference ""taking latency into account"", making the optimizer aware of latency is a big task that is on our product roadmap but may not have a corresponding GitHub issue. TODOs can also be helpful to explain a hacky implementation so that a future reader of the code can improve it or at least understand why the original implementer made the choice that they did. [C1][C6]","*B3. If it explains code and can’t be forgotten
*C1. If it acts as hints to the reader
*C2. If it has low priority
*C6. If it notes [explains] smaller implementation
*I1. If it spans to multiple places
*I4. If it requires medium/large effort to fix"
D10,kubernetes/kubernetes,"For a), I left this as a TODO comment because it was a small implementation detail and I didn't see it as an important issue to tackle.[C2] If I were to create a github issue for this, it would probably be more for a general refactor of related types and then I would bundle that TODO (and related TODOs) in that issue.

For b), I opened this as a github issue above because I saw this as something beyond just an implementation detail; it was something that would potentially affect users running end to end tests. [I2]
This could have been kept as a TODO comment but I think the github issue was more appropriate because it provides a venue to discuss potential solutions with other contributors [I3]

Generally speaking, I think github issues are useful for archiving larger scoped problems that impact usability or performance or code readability (just to name a few examples). [I1] Github issues are particularly useful in the Kubernetes ecosystem because they can be tagged with ""/good-first-issue"" which enables new contributors to find things to work on and get familiar with the project. [I6] I think TODO comments are useful for noting smaller implementation details or ""nits / nitpicks"". [C6]

It's all very context dependent, but hopefully you're able to extract something from this response to find a common pattern for which TD documentation type is best based on the TD.","*C2. If it has low priority
*C6. If it clarifies smaller implementation
*I1. If it spans to multiple places
*I2. If it has high priority
*I3. If it requires discussion
*I6. If it is a good first issue"
